vendor,type
"Guangzhou Juan Intelligent Tech Joint Stock Co.,Ltd",camera
AWIND Inc.,wireless presentation system
BLU Products Inc,smartphone
"Beijing Xiaomi Mobile Software Co., Ltd",smartphone
Blink by Amazon,camera
China Dragon Technology Limited,chips
"Comnect Technology CO.,LTD",home router
D&M Holdings Inc.,AV Equipment
"ALPSALPINE CO,.LTD",Wireless LAN/Bluetooth
Compex Systems Pte Ltd,chips
"AMPAK Technology, Inc.",
Enterasys,router
Harman/Becker Automotive Systems GmbH,automotive
Hong Kong Bouffalo Lab Limited,
"Mediabridge Products, LLC.",router
Pakedge Device and Software Inc.,AV Router
Phorus,AV Equipment
"Qihoo 360 Technology Co.,Ltd",
SAMSARA NETWORKS INC,IOT Gateway
SHENZHEN BILIAN ELECTRONIC CO.，LTD,IOT Router
Sercomm Corporation.,IOT Router/Devices
"Shanghai Xiaoyi Technology Co., Ltd.",camera
Synology Incorporated,router
"TRENDnet, Inc.",router/camera/powerline
"Tenda Technology Co.,Ltd.Dongguan branch",router
VCS Video Communication Systems AG,camera
Winstars Technology Ltd,router/av equipment
"70mai Co.,Ltd.",automotive/dash cam
"ALFA, INC.",router
AWIND Inc.,AV Equipment
China Dragon Technology Limited,chips
D-Link Corporation,router
Diffon Corporation,
EasyIO Corporation Sdn. Bhd.,hvac/building management
Edimax Technology Co. Ltd.,router
Espressif Inc.,
Ford Motor Company,automotive
"Gemtek Technology Co., Ltd.",
"Guangzhou Juan Intelligent Tech Joint Stock Co.,Ltd",camera
"Guangzhou Juan Optical and Electronical Tech Joint Stock Co., Ltd",camera
"Guangzhou Robustel Technologies Co., Limited",IOT Router
"KonnectONE, LLC",hotspot
LONGCHEER TELECOMMUNICATION LIMITED,IOT Devices
"LinkSprite Technologies, Inc.",AI + IOT Camera
PHOENIX CONTACT Electronics GmbH,industrial wifi
PePWave Ltd,
"SHENZHEN NETIS TECHNOLOGY CO.,LTD",access point
"SHENZHEN ZHIBOTONG ELECTRONICS CO.,LTD",router
Securifi Ltd,touchscreen router
"Shanghai High-Flying Electronics Technology Co., Ltd",IOT wifi
"Shenzhen Bilian electronic CO.,LTD",
Silicon Laboratories,chips
"Suzhou SmartChip Semiconductor Co., LTD",chips
Sychip Inc.,
Teltonika,industrial router
"Tenda Technology Co., Ltd.",router
Tiger NetCom,voip
Visteon Corporation,automotive
Westell Technologies Inc.,
"Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd",voip
"Z-Com, Inc.",router
"shenzhen RAKwireless technology Co.,Ltd",
